registrationNumber,airline,model
2899,Aer Arann,B739
2900,Pan American World Airways,CRJ9
2901,Forward Air International Airlines,B788
2902,Aeromexpress,A332
2903,Patriot Airways,DH8D
2904,Eastar Jet,A332
2905,Line Blue,AT76
2906,BACH Flugbetriebsges,A320
2907,BVI Airways,A320
2908,American Eagle Airlines,AT75
2909,Air Turks and Caicos,E190
2910,Air Pegasus,A388
2911,AirAsia X,AT76
2912,Airborne Express,A388
2913,KoralBlue Airlines,AT75
2914,Tri-MG Intra Asia Airlines,A320
2915,Usa Sky Cargo,B738
2916,Air Finland,E190
2917,Hong Kong Airlines,A333
2918,Skymark Airlines,B772
2919,GermanXL,B763
2920,Thai Lion Air,B77W
2921,Peruvian Airlines,A332
2922,Oceanic Airlines,A321
2923,Cubana de Aviación,B77L
2924,Astair,A320
2925,Eritrean Airlines,E170
2926,Interjet (ABC Aerolineas),B789
2927,V Air,A321
2928,Polynesian Airlines,A388
2929,NEPC Airlines,B77L
2930,Avianova (Russia),CRJ9
2931,Grant Aviation,B789
2932,Finncomm Airlines,A321
2933,Hokkaido International Airlines,AT75
2934,Sterling Airlines,B788
2935,Golden Air,AT76
2936,Asia Wings,A388
2937,Arrow Air,B738
2938,Bahamasair,AT75
2939,Air Hamburg (AHO),A333
2940,Rainbow Air Canada,B789
2941,Nile Air,AT76
2942,Eastern Airways,A333
2943,Atlantic Southeast Airlines,AT75
2944,Cielos Airlines,DH8D
2945,Fly540,B789
2946,Air Costa,A332
2947,Air Bangladesh,B763
2948,Air Mediterranee,A332
2949,Air Service Gabon,A333
2950,Aurigny Air Services,B789
2951,Airbus Industrie,B744
2952,Bearskin Lake Air Service,B744
2953,Kharkiv Airlines,B744
2954,Tarom,C172
2955,Flyglobespan,AT75
2956,Avianca - Aerovias Nacionales de Colombia,B744
2957,GoJet Airlines,DH8D
2958,Private Wings Flugcharter,AT75
2959,Red Wings,B77L
2960,UTair-Express,A332
2961,Regional Paraguaya,DH8D
2962,Domodedovo Airlines,B739
2963,Air Burkina,AT76
2964,INFINI Travel Information,A333
2965,Air Vegas,E190
2966,Nuevo Continente,B737
2967,LSM International ,B744
2968,Texas Wings,CRJ9
2969,Japan Transocean Air,C172
2970,JALways,B77W
2971,Aviabus,B739
2972,Trans States Airlines,B788
2973,Zimbabwean Airlines,A320
2974,SunExpress,B739
2975,Redhill Aviation,A319
2976,Interair South Africa,CRJ9
2977,VASP,A388
2978,Virginwings,AT75
2979,USA Jet Airlines,A332
2980,Star Air,B788
2981,Carpatair,B789
2982,Royal,B752
2983,Transportes Aéreos Nacionales de Selva,B744
2984,Croatia Airlines,E170
2985,Royal European Airlines,C172
2986,Senegal Airlines,A388
2987,Thomas Cook Airlines,B752
2988,Aviabus,B744
2989,European Air Express,B77L
2990,Deutsche Luftverkehrsgesellschaft,B772
2991,Eritrean Airlines,B788
2992,Air Mozambique,B738
2993,Republic Airlines,B744
2994,Astar Air Cargo,A333
2995,SkyEurope,B744
2996,Empire Airlines,A333
2997,Komiinteravia,A332
2998,Abacus International,A333
2999,Air Zimbabwe,C172
3000,VIA Rail Canada,B772
3001,Air Europe,A319
3002,Air Hong Kong,CRJ9
3003,Rossiya,B77W
3004,Air Contractors,AT76
3005,Air VIA,B738
3006,bmibaby,B789
3007,Malmö Aviation,B77L
3008,Amaszonas,E170
3009,Rio Sul Servi,E170
3010,PanAm World Airways,B789
3011,Sat Airlines,B77W
3012,Europe Jet,A321
3013,Salzburg arrows,E190
3014,Tyrolean Airways,B738
3015,Eos Airlines,B737
3016,Qatar Airways,B737
3017,Panafrican Airways,B738
3018,Aerolane,B752
3019,Transmile Air Services,A332
3020,Air One,B789
3021,Amaszonas,A320
3022,National Jet Systems,E190
3023,Adam Air,E190
3024,China Xinhua Airlines,A319
3025,Hi Fly,C172
3026,Imair Airlines,B752
3027,Danube Wings (V5),B77W
3028,WestJet Encore,CRJ9
3029,Mount Cook Airlines,DH8D
3030,Court Line,B77L
3031,Empire Airlines,B744
3032,Salsa d\\'Haiti,A321
3033,Skymark Airlines,B739
3034,Jetstar Pacific,A388
3035,Pan Am World Airways Dominicana,DH8D
3036,Conviasa,B77W
3037,Kabo Air,A332
3038,Lynden Air Cargo,B738
3039,Red Jet Canada,DH8D
3040,BA Connect,B789
3041,Omni Air International,B772
3042,Fika Salaama Airlines,B789
3043,Sosoliso Airlines,DH8D
3044,Private flight,AT75
3045,Open Skies Consultative Commission,A320
3046,JSC Transport Automated Information Systems,B739
3047,MHS Aviation GmbH,E190
3048,Air Nostrum,B739
3049,Regionalia México,A321
3050,Air Greenland,A321
3051,B&H Airlines,A333
3052,Air Guinee Express,B752
3053,Dobrolet,B77W
3054,Japan Airlines,B77L
3055,Iberia Express,B738
3056,Air2there,B744
3057,Grupo TACA,AT75
3058,Antrak Air,B77W
3059,Air Alps Aviation,B772
3060,Empresa Ecuatoriana De Aviacion,B77W
3061,Interair South Africa,B763
3062,Safi Airlines,A319
3063,Xpressair,B77L
3064,Air Comores International,A319
3065,First Air,B738
3066,Caribbean Star Airlines,A319
3067,Asia Wings,B738
3068,Fuji Dream Airlines,A319
3069,Sharp Airlines,A321
3070,Kuwait Airways,B77L
3071,Bismillah Airlines,B772
3072,Click (Mexicana),AT75
3073,Cargojet Airways,A332
3074,Redhill Aviation,B737
3075,Twin Jet,B752
3076,Islena De Inversiones,AT75
3077,British International Helicopters,B77L
3078,Star Peru (2I),B772
3079,Baltic Air lines,AT75
3080,RACSA,B738
3081,Edelweiss Air,B788
3082,Jetx Airlines,C172
3083,Jet Airways,A388
3084,Go Air,B738
3085,Air Luxor,C172
3086,BudgetAir,A388
3087,Etihad Airways,C172
3088,American Airlines,B789
3089,SOCHI AIR CHATER,A332
3090,Air Alps Aviation (A6),B739
3091,City Airline,B763
3092,Transport Aérien Transrégional,C172
3093,Lufthansa,B763
3094,Mesa Airlines,A320
3095,Interavia Airlines,B77L
3096,Portugalia,A388
3097,ABSA - Aerolinhas Brasileiras,B77W
3098,Eagle Air,A320
3099,AirOne Polska,A320
3100,Ural Airlines,B744
3101,Alidaunia,A321
3102,Libyan Arab Airlines,E190
3103,Viasa,B744
3104,World Airways,DH8D
3105,EasyJet (DS),E170
3106,TransHolding System,B77L
3107,Ansett Australia,A332
3108,Hahn Air,AT76
3109,Canadian Airlines,B788
3110,Midwest Airlines,B763
3111,Onur Air,A320
3112,Ciel Canadien,A320
3113,Euro Harmony,DH8D
3114,Air Class Lineas Aereas,B77L
3115,Pace Airlines,A332
3116,Mango,B744
3117,Air Hamburg (AHO),AT75
3118,Eritrean Airlines,C172
3119,Japan Airlines,A388
3120,All Europe,E190
3121,Elysian Airlines,A319
3122,Air Fiji,B763
3123,Ocean Airlines,CRJ9
3124,Nepal Airlines,B77L
3125,Hong Kong Express Airways,E190
3126,Aloha Airlines,B77W
3127,TAM Mercosur,E170
3128,Sama Airlines,A332
3129,Tower Air,A320
3130,Omskavia Airline,A319
3131,Air Mekong,A332
3132,CanJet,CRJ9
3133,Radixx Solutions International,B77W
3134,Paramount Airways,A320
3135,Delta Air Lines,CRJ9
3136,Indian Airlines,B752
3137,BusinessAir,B738
3138,Arik Air,B752
3139,United Airways,B788
3140,All America US,C172
3141,Nova Airline,B77W
3142,Astair,B788
3143,Air New Zealand,C172
3144,Air Sahara,DH8D
3145,Rainbow Air Polynesia,B772
3146,Sky Trek International Airlines,AT76
3147,First Air,B739
3148,Air Jamaica,E190
3149,Contact Air,B739
3150,Air Canada Jazz,A333
3151,Euro Harmony,E170
3152,Mahan Air,B739
3153,Macair Airlines,E190
3154,Bringer Air Cargo Taxi Aereo,B77W
3155,Rio Sul Servi,A319
3156,China SSS,AT75
3157,Dominicana de Aviaci,A388
3158,Transavia Holland,B788
3159,Tiger Airways Australia,B77L
3160,Hellas Jet,B737
3161,Naka Nihon Airlines Service,B739
3162,Fly Brasil,AT75
3163,Northern Air Cargo,E190
3164,Onur Air,B744
3165,Access Air,AT75
3166,Formosa Airlines,E170
3167,Aztec Worldwide Airlines,E190
3168,Swiss International Air Lines,A388
3169,Aero Services Executive,B77L
3170,Air Senegal International,A388
3171,Aws express,CRJ9
3172,Nepal Airlines,B752
3173,UTair Aviation,AT76
3174,Salsa d\\'Haiti,B772
3175,Midway Airlines,C172
3176,Hello,DH8D
3177,Regionalia Uruguay,B788
3178,Midwest Airlines (Egypt),B77L
3179,Bankair,A332
3180,Vietnam Airlines,DH8D
3181,All Spain,B739
3182,Euromanx Airways,B744
3183,Binter Canarias,AT76
3184,All America CL,B737
3185,CB Airways UK ( Interliging Flights ),A333
3186,Air Pegasus,A319
3187,Volotea Costa Rica,E170
3188,Sabre,B77L
3189,American Eagle Airlines,B739
3190,Air Bangladesh,B789
3191,Air Europe,B77L
3192,Metro Batavia,B77L
3193,Zest Air,E190
3194,Rainbow Air (RAI),B763
3195,AeroMéxico,B752
3196,Thomas Cook Airlines,A333
3197,Express One International,B77W
3198,SkyWork Airlines ,A332
3199,Nok Air,A320
3200,Frontier Flying Service,B737
3201,DAS Air Cargo,B789
3202,CommutAir,A332
3203,Eastwind Airlines,B737
3204,Himalayan Airlines,A332
3205,Jetclub,B738
3206,TACA Peru,B738
3207,Hamburg International,B752
3208,Atifly,A388
3209,Mount Cook Airlines,B738
3210,Iberia Express,A388
3211,Fly Air,A333
3212,Singapore Airlines Cargo,A388
3213,Regional Paraguaya,AT76
3214,Interlink Airlines,AT76
3215,Norwegian Air Shuttle,A332
3216,Korean Air,B788
3217,Volaris,CRJ9
3218,Gemini Air Cargo,B772
3219,Compania Mexicargo,B739
3220,Martinair,B772
3221,Lviv Airlines,B77W
3222,ATRAN Cargo Airlines,B752
3223,Deutsche Luftverkehrsgesellschaft,B77W
3224,National Airlines,AT76
3225,Bulgaria Air,DH8D
3226,Air Alpha Greenland,B788
3227,Jetx Airlines,A388
3228,North Flying,B772
3229,Air Chathams,E170
3230,Texas Wings,B77L
3231,Tunisair,B788
3232,Adam Air,A321
3233,Аэросервис,C172
3234,Continental Express,B77W
3235,Air Libert,A319
3236,Air Europe,B752
3237,ABX Air,DH8D
3238,Ural Airlines,B737
3239,Airlink (SAA),A319
3240,Servant Air,E170
3241,Blue Air,B737
3242,Thai Lion Air,DH8D
3243,First Air,B789
3244,Keystone Air Services,A321
3245,Volaris,B744
3246,Maldivo Airlines,B752
3247,Cubana de Aviación,A333
3248,EVA Air,E170
3249,Guinee Airlines,AT76
3250,Alpi Eagles (E8),B739
3251,Executive Airlines,DH8D
3252,Shanxi Airlines,B752
3253,Nihon.jet,A332
3254,Biman Bangladesh Airlines,E190
3255,Blue Wings,B772
3256,Chitaavia,A333
3257,Servant Air,B77W
3258,Kogalymavia Air Company,B737
3259,Xiamen Airlines,B788
3260,Air Caraïbes,B744
3261,Pacific Coastal Airline,B752
3262,Island Airlines,B772
3263,Air Kazakhstan,A388
3264,Ural Airlines,A319
3265,President Airlines,B737
3266,Helijet,B752
3267,Abelag Aviation,E190
3268,Spicejet,B737
3269,Sun Air (Fiji),E170
3270,TACA Peru,B772
3271,Alrosa Mirny Air Enterprise,B77W
3272,Club Air,B77L
3273,Florida West International Airways,AT75
3274,TransNusa Air,A333
3275,Arkia Israel Airlines,B77W
3276,Air Srpska,B737
3277,BQB Lineas Aereas,B752
3278,Air VIA,E190
3279,CCML Airlines,A320
3280,Airblue,B737
3281,Rico Linhas A,B752
3282,Air Atlantic,B77W
3283,Mahfooz Aviation,A321
3284,PLUNA,B772
3285,Air Arabia Maroc,A321
3286,China Xinhua Airlines,AT76
3287,Varig Log,A388
3288,Rainbow Air US,B77W
3289,Regional Airlines,E190
3290,IzAvia,A319
3291,Air Contractors,A320
3292,Air Alpha Greenland,E190
3293,Air Andaman (2Y),B789
3294,Himalayan Airlines,DH8D
3295,Aero Flight,A320
3296,Air Seychelles,A319
3297,Lviv Airlines,B752
3298,Ukrainian Cargo Airways,B739
3299,Fly Illi,DH8D
3300,InteliJet Airways,A388
3301,LSM Airlines,A321
3302,Bluebird Cargo,A321
3303,Spike Airlines,DH8D
3304,Bahamasair,B763
3305,Mexicana de Aviaci,B752
3306,Helios Airways,A321
3307,Korongo Airlines,B763
3308,Air Nostrum,B752
3309,BRAZIL AIR,B763
3310,Zambia Skyways,B739
3311,Denim Air ,B77L
3312,GREAT LAKES (GX),B737
3313,British Air Ferries,AT76
3314,Empresa Ecuatoriana De Aviacion,A320
3315,Pacific Southwest Airlines,B738
3316,Air S,E190
3317,Air Contractors,A321
3318,Indian Airlines,B737
3319,Maxair,A333
3320,Polet Airlines (Priv),B77L
3321,Air Plus Comet,B737
3322,CanXplorer,B772
3323,BAX Global,B744
3324,Conviasa,AT75
3325,Dominicana de Aviaci,AT76
3326,Bouraq Indonesia Airlines,AT75
3327,SkyEurope,E170
3328,Air Baltic,C172
3329,Macair Airlines,B739
3330,Consorcio Aviaxsa,AT76
3331,Polynesian Blue,B77L
3332,Southjet connect,C172
3333,Thomsonfly,B763
3334,Air Nostrum,E170
3335,Fly Europa,B772
3336,TNT Airways,DH8D
3337,Brussels Airlines,B744
3338,Marysya Airlines,B789
3339,Rainbow Air Canada,DH8D
3340,Aerocontinente (Priv),A332
3341,Proflight Commuter Services,A319
3342,Nouvel Air Tunisie,B77L
3343,Dobrolet,A320
3344,Tower Air,C172
3345,Amerijet International,A333
3346,PanAm World Airways,AT75
3347,East African,A332
3348,Kiwi International Air Lines,B77W
3349,Princess Air,AT76
3350,Air Canada Jazz,A332
3351,Comores Airlines,B789
3352,Xtra Airways,B772
3353,Austral Lineas Aereas,A320
3354,British Mediterranean Airways,B789
3355,Cosmic Air,A320
3356,VickJet,B788
3357,Aerolineas Galapagos (Aerogal),AT76
3358,Hope Air,AT75
3359,Reno Air,AT76
3360,Aeroflot-Don,A320
3361,Blue Sky America,A332
3362,Sosoliso Airlines,B738
3363,Kalitta Air,A388
3364,Air Botswana,B738
3365,Maya Island Air,B744
3366,Aer Lingus,A388
3367,SATA Air Acores,A319
3368,Balkan Bulgarian Airlines,B788
3369,Scoot,B744
3370,Macair Airlines,B772
3371,Lufthansa Cargo,B739
3372,CheapFlyingInternational,B738
3373,40-Mile Air,CRJ9
3374,Faroejet,B77W
3375,Air Jamaica,A333
3376,Nazca,B788
3377,Maldivian,AT76
3378,DonbassAero,DH8D
3379,Tatarstan Airlines,B788
3380,Arik Niger,C172
3381,VASP,B752
3382,REXAIR VIRTUEL,B788
3383,Kharkiv Airlines,B739
3384,Electronic Data Systems,B739
3385,Air Sicilia,A388
3386,Myway Airlines,B789
3387,Ryan International Airlines,B737
3388,Ozark Air Lines,B738
3389,Pegasus Hava Tasimaciligi,B752
3390,TAM Mercosur,B789
3391,Air Japan,B77W
3392,Fly Dubai,B77W
3393,Tropic Air,B772
3394,Scat Air,A388
3395,MAT Airways,AT75
3396,Amaszonas,B763
3397,Royal Airways,B752
3398,88,A321
3399,Aerocondor,AT75
3400,Origin Pacific Airways,B77L
3401,TAP Portugal,A319
3402,Air Canada Jazz,B752
3403,Zimex Aviation,DH8D
3404,Air Mediterranee,DH8D
3405,Insel Air (7I/INC) (Priv),AT75
3406,Air Bagan,A321
3407,Lugansk Airlines,A319
3408,TUIfly (X3),E190
3409,LAN Peru,A332
3410,Norte Lineas Aereas,B737
3411,Sky Trek International Airlines,A333
3412,Swissair,A333
3413,Royal Khmer Airlines,C172
3414,DAT Danish Air Transport,B788
3415,Florida Coastal Airlines,A319
3416,Bassaka airlines,DH8D
3417,Whitaker Air,E170
3418,Transaviaexport,CRJ9
3419,International Europe,B789
3420,Dense Connection,B744
3421,Travel Service,AT76
3422,Blue Dart Aviation,B789
3423,HQ- Business Express,B739
3424,Onur Air,B772
3425,Nile Air,B744
3426,Arkia Israel Airlines,E170
3427,Maldivo Airlines,B752
3428,Scorpio Aviation,C172
3429,Pal airlines,E170
3430,ICAR Airlines,B77W
3431,Sun D'Or,A320
3432,Helvetic Airways,B789
3433,North Coast Aviation,B739
3434,Air Paradise International,B789
3435,Malaysia Airlines,B752
3436,Air North Charter - Canada,B752
3437,Yangtze River Express,B763
3438,Braniff International Airways,A332
3439,Tandem Aero,A320
3440,Valuair,A319
3441,Polynesian Airlines,B737
3442,Cosmic Air,A319
3443,Palair Macedonia,B752
3444,Fly540,AT75
3445,MexicanaLink,E170
3446,Firefly,A321
3447,TAAG Angola Airlines,A388
3448,PanAm World Airways,A332
3449,Sky Express,B737
3450,First Choice Airways,A332
3451,Europe Jet,CRJ9
3452,Canadian National Airways,B744
3453,Aero California,B77W
3454,Ryan International Airlines,A333
3455,Australian Airlines,DH8D
3456,Faroejet,B738
3457,Aerosvit Airlines,AT76
3458,Volare Airlines,B744
3459,Sky Trek International Airlines,A333
3460,Bearskin Lake Air Service,B738
3461,Mandarin Airlines,A321
3462,MexicanaLink,B788
3463,Golden Air,AT75
3464,MNG Airlines,A332
3465,American Eagle Airlines,B739
3466,West Air Sweden,B738
3467,City Airways,A319
3468,Air North Charter - Canada,B772
3469,Canadian World,AT76
3470,Alaska Airlines,CRJ9
3471,Atlantic Airways,E170
3472,National Airways Cameroon,E190
3473,Iberia Airlines,B739
3474,Jatayu Airlines,E190
3475,Safair,AT75
3476,Air Armenia,B737
3477,Zip,A333
3478,SGA Airlines,AT75
3479,United Feeder Service,E190
3480,Interair South Africa,C172
3481,Heli France,B737
3482,Proflight Commuter Services,B763
3483,Spicejet,C172
3484,Aires,A320
3485,Axis Airways,B737
3486,Court Line,A333
3487,LTU International,AT76
3488,SOCHI AIR,B752
3489,Bravo Air Congo,A333
3490,Chongqing Airlines,AT75
3491,Moldavian Airlines,A321
3492,Japan Regio,C172
3493,German International Air Lines,B789
3494,TAP Portugal,A332
3495,Cirrus Airlines,B739
3496,UM Airlines,B772
3497,Aero Asia International,A333
3498,North Pacific Airlines,B77W
3499,Faso Airways,B789
3500,Transports et Travaux A,B738
3501,TransAsia Airways,B772
3502,Siren-Travel,AT76
3503,Trans World Airlines,A321
3504,Air Mauritanie,AT76
3505,Wings Air,C172
3506,SATA International,A319
3507,Scorpio Aviation,C172
3508,Balkan Bulgarian Airlines,B744
3509,Deutsche Rettungsflugwacht,B772
3510,Lufthansa Cargo,A320
3511,Aztec Worldwide Airlines,E190
3512,Tiara Air,A333
3513,Zambian Airways,B77W
3514,Air Koryo,A321
3515,QatXpress,A319
3516,Mango,E190
3517,Radixx Solutions International,CRJ9
3518,Transaero Airlines,CRJ9
3519,Airshop,B788
3520,Sunwing Airlines,B763
3521,TAN-SAHSA,B763
3522,NextJet,AT76
3523,ICAR Airlines,B789
3524,Aero VIP,C172
3525,Cubana de Aviación,CRJ9
3526,Thai Lion Air,B77L
3527,Dirgantara Air Service,A321
3528,Starbow Airlines,A332
3529,Avient Aviation,B752
3530,Zambezi Airlines (ZMA),DH8D
3531,Windward Islands Airways,B789
3532,Air Lithuania,B738
3533,Marusya Airways,DH8D
3534,Sudan Airways,B739
3535,West Coast Air,A320
3536,Zabaykalskii Airlines,B737
3537,TRIP Linhas A,B772
3538,ICAR Airlines,E170
3539,JAL Express,C172
3540,Perm Airlines,B737
3541,Airlines Of Tasmania,A388
3542,Air Sinai,E170
3543,Cyprus Airways,B737
3544,Nationwide Airlines,AT76
3545,Aero Asia International,A320
3546,Myanmar Airways International,B752
3547,Peach Aviation,A333
3548,Asian Spirit,B763
3549,12 North,A321
3550,Itek Air,A319
3551,AirLiberté,A319
3552,West Air Sweden,A333
3553,TransHolding System,A333
3554,Comair,B737
3555,United Airlines,A388
3556,Skyline nepc,C172
3557,SkyBahamas Airlines,CRJ9
3558,Blue1,C172
3559,Trans States Airlines,B788
3560,Air Tindi,DH8D
3561,China Cargo Airlines,AT76
3562,Deutsche Luftverkehrsgesellschaft,B737
3563,ICAR Airlines,B788
3564,Nouvel Air Tunisie,B788
3565,Héli Sécurité Helicopter Airlines,CRJ9
3566,Nas Air,C172
3567,Lufthansa Systems,B788
3568,Empresa Ecuatoriana De Aviacion,A319
3569,LSM AIRLINES ,A321
3570,I-Fly,A388
3571,Russian Sky Airlines,B739
3572,USA Jet Airlines,B789
3573,Jet Airways,AT76
3574,Estafeta Carga Aerea,B77L
3575,Compass Airlines,B77W
3576,Air Salone,B752
3577,Royal Air Cambodge,B738
3578,Airstars,A332
3579,Aircompany Yakutia,B772
3580,Dirgantara Air Service,B744
3581,Air Ukraine,AT76
3582,Horizon Air,DH8D
3583,Africa West,E170
3584,ELK Airways,B737
3585,Air City,B738
3586,AirAsia,B738
3587,Transavia Holland,AT76
3588,Eritrean Airlines,AT76
3589,Island Spirit,A320
3590,Tramm Airlines,A333
3591,Flightline,B739
3592,Camair-co,A332
3593,Sriwijaya Air,DH8D
3594,Darwin Airline,A319
3595,Alitalia Cityliner,C172
3596,Far Eastern Air Transport,B77L
3597,Adam Air,B763
3598,Virgin America,DH8D
3599,PB Air,B738
3600,Air Astana,A332
3601,PB Air,B739
3602,Indian Airlines,B772
3603,Kavminvodyavia,DH8D
3604,TUIfly,B77W
3605,Transport Aérien Transrégional,B77W
3606,Jayrow,E170
3607,Viasa,B772
3608,Volga-Dnepr Airlines,A319
3609,All Colombia,A332
3610,Sabre Pacific,B763
3611,Regional Express,AT75
3612,Jetclub,C172
3613,Astral Aviation,B752
3614,Kogalymavia Air Company,B772
3615,Helvetic Airways,A320
3616,Laoag International Airlines,A332
3617,Air Kiribati,B772
3618,Spring Airlines Japan,A321
3619,Flightline,B77W
3620,Air Plus Comet,DH8D
3621,Vueling Airlines,B77L
3622,China Xinhua Airlines,DH8D
3623,Greenfly,A321
3624,LAN Airlines,B752
3625,Aereonautica militare,B789
3626,Maxjet Airways,E190
3627,Skyjet Airlines,A332
3628,Comores Airlines,B739
3629,Volotea Costa Rica,A320
3630,Japan Asia Airways,B77W
3631,Antinea Airlines,B772
3632,LAN Airlines,B738
3633,Euro Exec Express,C172
3634,Atlas Air,B77W
3635,Avilu,C172
3636,Linhas A,CRJ9
3637,UTair-Express,B77L
3638,Air Macau,E170
3639,Zip,B772
3640,S7 Airlines,A321
3641,Ciao Air,B752
3642,Pearl Airways,B737
3643,Air Tindi,E190
3644,LSM AIRLINES ,B752
3645,Thai Sky Airlines,A332
3646,OneJet,A333
3647,Tyrolean Airways,A321
3648,Afrinat International Airlines,B744
3649,Jordan Aviation,B737
3650,Air Saint Pierre,E190
3651,Turan Air,A320
3652,AirOne Continental,AT76
3653,Virgin Nigeria Airways,A319
3654,Sirena,C172
3655,Thai Lion Air,B772
3656,Corsairfly,A388
3657,Nazca,DH8D
3658,Gambia International Airlines,A321
3659,Mastertop Linhas Aereas,E170
3660,Air Dolomiti,E190
3661,Alaska Seaplane Service,B752
3662,BAX Global,B789
3663,Bangkok Airways,A332
3664,Canadian Airlines,B738
3665,Contact Air,A388
3666,Trast Aero,A319
3667,Arcus-Air Logistic,A321
3668,Ciel Canadien,B744
3669,MasAir,B744
3670,Air Salone,E170
3671,Deutsche Rettungsflugwacht,A320
3672,Avirex,B752
3673,Air Sinai,E170
3674,TROPICAL LINHAS AEREAS,DH8D
3675,Scat Air,DH8D
3676,Air Tanzania,E170
3677,Tuninter,C172
3678,Safair,B788
3679,Saratov Aviation Division,AT75
3680,Yemenia,AT75
3681,Alliance Airlines,B738
3682,Tway Airlines,B77L
3683,Aero-Service,B752
3684,Pegasus Hava Tasimaciligi,B752
3685,Galileo International,B744
3686,Avialeasing Aviation Company,B789
3687,Syrian Arab Airlines,B77W
3688,BA Connect,B77W
3689,Jazeera Airways,A388
3690,Air Bangladesh,E190
3691,United Parcel Service,C172
3692,Aviaexpresscruise,A319
3693,Leeward Islands Air Transport,AT76
3694,SkyEurope,B737
3695,Dragonair,B789
3696,Samara Airlines,A321
3697,Polynesian Airlines,A319
3698,Air VIA,B738
3699,International AirLink,AT76
3700,Mauritania Airlines International,CRJ9
3701,Great Wall Airlines,B738
3702,V Australia Airlines,CRJ9
3703,Futura International Airways,B789
3704,Aeromexpress,DH8D
3705,Citilink Indonesia,B77W
3706,Finalair Congo,B763
3707,Orenburg Airlines,AT75
3708,Thomsonfly,B788
3709,NextJet,B752
3710,CommutAir,E170
3711,Astral Aviation,DH8D
3712,Island Air (WP),E190
3713,Avirex,CRJ9
3714,JSC Transport Automated Information Systems,B77W
3715,VivaColombia,A320
3716,Northwest Airlines,B763
3717,Air Serbia,E190
3718,DonbassAero,E170
3719,Aerosur,B77L
3720,Etihad Airways,B737
3721,Bringer Air Cargo Taxi Aereo,B789
3722,Superior Aviation,C172
3723,Xiamen Airlines,B789
3724,Fly One,B772
3725,Pacific East Asia Cargo Airlines,B737
3726,Sosoliso Airlines,B77W
3727,Malindo Air,A332
3728,TUIfly Nordic,B788
3729,Nik Airways,A333
3730,Air Vegas,C172
3731,Annsett New Zealand (NZA),B752
3732,World Experience Airline,CRJ9
3733,Cimber Air,A388
3734,Lao Airlines,AT75
3735,Polynesian Airlines,B763
3736,Monarch Airlines,CRJ9
3737,Thai Smile Airways,A320
3738,Darwin Airline,AT75
3739,Malindo Air,B738
3740,Peach Aviation,DH8D
3741,Spring Airlines Japan,B77W
3742,Starling Airlines Spain,B77W
3743,Islas Airways,E170
3744,Apache Air,B77W
3745,Formosa Airlines,CRJ9
3746,African Transport Trading and Investment Company,B763
3747,Air Alps Aviation (A6),C172
3748,Consorcio Aviaxsa,AT75
3749,Eurowings,C172
3750,Maastricht Airlines,AT76
3751,Aero Condor Peru,B763
3752,Ukrainian Cargo Airways,B77L
3753,GoJet Airlines,C172
3754,Zoom Airlines,A320
3755,Intersky,B77L
3756,Regionalia Chile,B744
3757,Air Busan,B752
3758,Sudan Airways,B744
3759,Empresa Ecuatoriana De Aviacion,B788
3760,Volare Airlines,AT76
3761,Air Urga,B77L
3762,Lufttransport,A333
3763,Whitaker Air,B772
3764,Copa Airlines,E190
3765,TransBrasil Airlines,B744
3766,Executive Airlines,DH8D
3767,Boutique Air (Priv),A320
3768,GREAT LAKES (GX),C172
3769,Mount Cook Airlines,E190
3770,Edelweiss Air,B739
3771,Bering Air,B763
3772,Shenzhen Airlines,A320
3773,SAETA,AT76
3774,Island Express Air,B77W
3775,Palau Trans Pacific Airline,AT75
3776,Afrinat International Airlines,B772
3777,CAL Cargo Air Lines,A319
3778,Air Botswana,AT75
3779,Air Dolomiti,A320
3780,Air Florida,A332
3781,LAN Airlines,B752
3782,ABX Air,B772
3783,Arik Air,C172
3784,Edelweiss Air,DH8D
3785,Virgin Atlantic Airways,B772
3786,Senegal Airlines,B752
3787,LAN Peru,A333
3788,Skywest Australia,A320
3789,Civil Air Transport,B744
3790,Air Cape,AT76
3791,AeroMéxico,B77L
3792,AirBridge Cargo,C172
3793,Horizon Airlines,DH8D
3794,Mars RK,DH8D
3795,Air Arabia,A319
3796,Royal Nepal Airlines,B737
3797,Motor Sich,B739
3798,Jazeera Airways,B788
3799,Med Airways,A319
3800,Trans Maldivian Airways,B737
3801,Greenfly,B763
3802,Crossair Europe,B788
3803,Kingfisher Airlines,B789
3804,Court Line,B77W
3805,Buquebus Líneas Aéreas,C172
3806,Condor Flugdienst,A388
3807,Helios Airways,A388
3808,Kingfisher Airlines,B77L
3809,Open Skies Consultative Commission,A388
3810,Calm Air,B744
3811,Reno Air,E190
3812,Air Midwest,B744
3813,Blue Wings,A332
3814,B&H Airlines,B737
3815,Ibex Airlines,DH8D
3816,Air Burundi,A320
3817,Virginwings,AT75
3818,UM Airlines,B744
3819,Wings Air,B752
3820,PMTair,A333
3821,Aero Mongolia,E170
3822,Shandong Airlines,DH8D
3823,OneChina,DH8D
3824,Harmony Airways,A332
3825,Aus-Air,B77L
3826,All America BR,A319
3827,Global Freightways,B744
3828,Deutsche Luftverkehrsgesellschaft,B738
3829,Faroejet,A332
3830,Maldivian,E170
3831,LAN Peru,A320
