fid,arrivalTime,departureTime,destination,departure,registrationNumber
WK845,2021-02-23 02:46:33,2021-02-22 19:46:33,West Sale Airport,Ambatolhy Airport,21127
LG846,2021-12-18 07:24:44,2021-12-17 23:24:44,Kalaleh Airport,Diomício Freitas Airport,19277
BP847,2021-04-11 20:03:33,2021-04-11 11:03:33,Etimesgut Air Base,Virginia Highlands Airport,21615
W2848,2021-08-12 07:22:43,2021-08-12 02:22:43,Assab International Airport,Tabibuga Airport,16630
3B849,2021-05-17 15:39:56,2021-05-16 17:39:56,Unalakleet Airport,Boulia Airport,24834
OZ850,2022-07-16 03:58:34,2022-07-15 22:58:34,Tenerife Norte Airport,Sidi Barrani Airport,18313
5T851,2023-10-19 03:38:22,2023-10-18 23:38:22,Summerside Airport,Taba International Airport,18618
C6852,2022-12-11 19:04:44,2022-12-10 21:04:44,Cravo Norte Airport,Maués Airport,22447
HH853,2022-04-25 22:01:17,2022-04-25 20:01:17,Bangassou Airport,Springfield Branson National Airport,11617
D7854,2020-07-02 22:23:02,2020-07-02 15:23:02,Corixá Airport,Viqueque Airport,10799
0B855,2021-01-03 19:10:06,2021-01-02 21:10:06,Cachoeiro do Itapemirim Airport,Lamap Airport,27954
GG856,2022-05-27 17:12:47,2022-05-27 15:12:47,Chignik Lagoon Airport,Tofino Harbour Seaplane Base,13137
U6857,2020-08-04 18:39:23,2020-08-04 13:39:23,McMinn County Airport,Colatina Airport,14984
3K858,2021-12-17 18:21:03,2021-12-17 17:21:03,Coastal Carolina Regional Airport,Bou Chekif Airport,830
Q4859,2022-09-12 13:20:51,2022-09-12 06:20:51,Chickasha Municipal Airport,Al Thaurah Airport,15020
LG860,2021-07-03 12:52:15,2021-07-03 09:52:15,Skiros Airport,Kithira Airport,1254
V9861,2023-05-21 10:47:43,2023-05-21 06:47:43,Viveros Island Airport,Twin Hills Airport,9039
LS862,2021-09-30 00:44:01,2021-09-29 09:44:01,Malalaua Airport,Bajawa Soa Airport,14322
E8863,2023-02-23 05:59:57,2023-02-22 05:59:57,Stockholm-Bromma Airport,Bareilly Air Force Station,2127
ED864,2022-11-28 08:06:19,2022-11-27 21:06:19,Northwest Arkansas Regional Airport,Suffield Heliport,17444
CD865,2023-08-07 16:53:09,2023-08-06 16:53:09,Mohéli Bandar Es Eslam Airport,Fremont County Airport,6663
GX866,2022-08-26 18:46:48,2022-08-26 14:46:48,Hamilton Field,Austin Robert Mueller Municipal,13219
QB867,2020-04-27 08:03:55,2020-04-27 03:03:55,Newport News Williamsburg International Airport,Fortescue - Dave Forrest Aerodrome,24112
9I868,2020-05-14 17:35:15,2020-05-14 14:35:15,Anderson Regional Airport,Whidbey Island Naval Air Station (Ault Field),10949
JP869,2022-06-25 22:10:36,2022-06-25 13:10:36,Penzance Heliport,Monmouth Executive Airport,27222
3D870,2021-08-15 13:03:15,2021-08-15 11:03:15,Confresa Airport,Capitan Corbeta CA Curbelo International Airport,11336
VJ871,2023-04-16 13:57:16,2023-04-15 17:57:16,Sir Bani Yas Airport,Keflavik International Airport,27824
TI872,2023-08-02 07:29:33,2023-08-02 02:29:33,Sishen Airport,Klawock Airport,8028
BN873,2021-05-07 09:18:50,2021-05-06 18:18:50,Pathein Airport,Bossangoa Airport,21321
1U874,2021-06-09 02:53:23,2021-06-08 16:53:23,Shindand Airport,Grosseto Air Base,24060
I2875,2022-12-22 06:53:14,2022-12-21 11:53:14,Mirny Airport,St. Lewis (Fox Harbour) Airport,1657
WU876,2022-04-25 21:36:53,2022-04-25 12:36:53,Ogdensburg International Airport,Taba International Airport,19727
G3877,2022-03-02 22:12:26,2022-03-02 18:12:26,North Platte Regional Airport Lee Bird Field,Omsk Central Airport,26242
V5878,2023-10-17 07:46:59,2023-10-16 19:46:59,Karato Airport,St Mary's Airport,6528
VR879,2021-02-28 06:12:09,2021-02-27 11:12:09,Toccoa Airport - R.G. Letourneau Field,Arthur's Town Airport,25805
T9880,2020-06-22 06:27:30,2020-06-21 17:27:30,Memorial Field,Xiangyang Liuji Airport,18664
QD881,2023-10-10 01:28:52,2023-10-10 00:28:52,Mungeranie Airport,Grand Coulee Dam Airport,7363
PM882,2021-05-21 22:08:47,2021-05-21 06:08:47,Yeelirrie Airport,Bologna Guglielmo Marconi Airport,7953
WJ883,2023-11-24 16:50:06,2023-11-24 11:50:06,Nana Airport,Kitale Airport,12092
TV884,2022-04-05 12:31:34,2022-04-05 03:31:34,Door County Cherryland Airport,Beagle Bay Airport,24087
9W885,2022-01-31 06:36:07,2022-01-31 03:36:07,Ilu Airport,Preah Vinhear Airport,26889
LM886,2020-02-19 18:11:03,2020-02-19 08:11:03,Anuradhapura Air Force Base,Dix-Sept Rosado Airport,2455
OD887,2021-07-23 06:47:36,2021-07-23 01:47:36,Tchongorove Airport,Idiofa Airport,8874
GG888,2023-07-31 21:35:52,2023-07-31 19:35:52,Goloson International Airport,Cooktown Airport,15259
9X889,2021-04-16 15:35:28,2021-04-16 08:35:28,Hemavan Airport,Lamen Bay Airport,875
SL890,2023-11-05 16:04:14,2023-11-04 19:04:14,Sultan Ismail Petra Airport,Islay Airport,12009
IJ891,2021-11-08 14:24:44,2021-11-08 00:24:44,Marqua Airport,Nevers-Fourchambault Airport,19397
QV892,2021-06-29 05:11:27,2021-06-28 18:11:27,Macaé Airport,Shimla Airport,3219
2L893,2021-04-03 19:04:27,2021-04-03 12:04:27,Aeroclube Airport,Bella Bella/Shearwater Seaplane Base,27984
6Q894,2020-01-17 17:59:40,2020-01-17 10:59:40,Swansea Airport,Gillam Airport,16455
IJ895,2023-11-18 09:21:50,2023-11-18 00:21:50,Usino Airport,John F Kennedy Memorial Airport,3427
MB896,2020-08-08 13:06:53,2020-08-07 17:06:53,Friedman Memorial Airport,Scusciuban Airport,16002
5Z897,2023-06-17 09:58:38,2023-06-17 03:58:38,Dalhart Municipal Airport,Uranium City Airport,9842
H7898,2022-10-19 04:36:11,2022-10-18 23:36:11,Debra Marcos Airport,Dimmit County Airport,6727
S0899,2020-05-21 03:34:56,2020-05-20 15:34:56,La Désirade Airport,Ulsan Airport,12243
KH900,2021-10-26 08:16:36,2021-10-25 19:16:36,Shiringayoc Airport,Maliana airport,27964
8L901,2021-04-23 06:27:02,2021-04-22 07:27:02,Austral Downs Airport,Simferopol International Airport,22532
HC902,2020-02-21 22:52:01,2020-02-21 17:52:01,Kashan Airport,Valdosta Regional Airport,12637
N4903,2023-03-31 06:23:12,2023-03-31 01:23:12,Matagami Airport,Stroudsburg Pocono Airport,24341
NR904,2022-05-20 17:19:44,2022-05-20 10:19:44,Thisted Airport,Podor Airport,24577
KS905,2023-05-27 04:42:37,2023-05-26 16:42:37,Bou Chekif Airport,Brackett Field,7895
1R906,2020-12-06 01:26:24,2020-12-05 19:26:24,Great Bend Municipal Airport,Idaho County Airport,13103
AF907,2020-03-20 13:35:46,2020-03-19 23:35:46,Sky Harbor Airport,Ingham Airport,24140
N8908,2022-03-06 22:34:30,2022-03-06 21:34:30,Yasouj Airport,Waca Airport,10609
NK909,2021-06-12 16:37:20,2021-06-12 01:37:20,Liège Airport,Allegheny County Airport,10229
E8910,2021-08-11 09:10:56,2021-08-10 15:10:56,Coronel FAP Alfredo Mendivil Duarte Airport,Gerrard Smith International Airport,5462
GF911,2021-04-08 01:32:48,2021-04-08 00:32:48,West Point Village Seaplane Base,Uvol Airport,20030
2U912,2020-11-23 03:11:55,2020-11-22 09:11:55,Federico Fellini International Airport,Caruaru Airport,4337
HC913,2021-04-13 20:08:17,2021-04-13 05:08:17,Lodja Airport,Västervik Airport,25415
U1914,2022-06-25 12:32:04,2022-06-25 00:32:04,Elorza Airport,Sayun International Airport,18918
8C915,2023-04-26 06:24:00,2023-04-26 05:24:00,Zhuhai Jinwan Airport,Battle Mountain Airport,8264
E9916,2021-03-31 15:13:30,2021-03-30 22:13:30,Hannover Airport,Yasser Arafat International Airport,5259
D5917,2022-08-28 03:53:13,2022-08-27 17:53:13,Tamworth Airport,Kariba International Airport,10846
5L918,2023-08-20 17:52:24,2023-08-20 10:52:24,Gulu Airport,Slayton Municipal Airport,23246
CS919,2022-12-17 13:30:36,2022-12-16 14:30:36,Kamberatoro Airport,Makung Airport,14981
ZN920,2023-07-16 16:54:21,2023-07-16 09:54:21,Radom Airport,St. Anthony Airport,11740
XO921,2023-10-25 22:46:36,2023-10-25 11:46:36,Confresa Airport,Vilhelmina Airport,18191
SV922,2021-09-02 23:09:35,2021-09-02 17:09:35,Rampart Airport,Laughlin Bullhead International Airport,14980
DN923,2020-01-24 16:39:15,2020-01-24 01:39:15,Atizapan De Zaragoza Airport,Tippi Airport,17241
S3924,2022-05-04 00:34:53,2022-05-03 13:34:53,Eelde Airport,Nefteyugansk Airport,24607
PE925,2020-03-17 18:53:59,2020-03-17 13:53:59,Kongiganak Airport,Rock Sound Airport,3923
5M926,2023-07-08 03:22:10,2023-07-07 11:22:10,Usino Airport,Sodankyla Airport,16422
ZV927,2020-04-08 17:02:05,2020-04-08 11:02:05,Bowling Green Warren County Regional Airport,Bahía Negra Airport,13137
W5928,2021-08-08 23:25:02,2021-08-08 20:25:02,Leeuwarden Air Base,Exeter International Airport,3314
N1929,2022-02-10 21:46:34,2022-02-10 13:46:34,Portage Creek Airport,William T. Piper Memorial Airport,3266
BG930,2023-02-09 18:05:30,2023-02-08 23:05:30,Savé Airport,LBJ Ranch Airport,8431
M8931,2021-12-02 08:42:16,2021-12-01 11:42:16,Feijó Airport,Silver Plains Airport,20307
WA932,2021-05-21 01:50:39,2021-05-21 00:50:39,RAF Lyneham,Laurinburg Maxton Airport,17768
BU933,2023-10-27 17:22:37,2023-10-27 05:22:37,Tuticorin Airport,"Zakynthos International Airport ""Dionysios Solomos""",20614
CK934,2023-05-16 00:36:27,2023-05-16 00:36:27,Sármellék International Airport,Balkhash Airport,3839
7935,2020-02-08 22:29:56,2020-02-08 08:29:56,Chilko Lake (Tsylos Park Lodge) Airport,Atbara Airport,16485
XR936,2023-01-06 08:15:06,2023-01-05 15:15:06,Vienna International Airport,Iraan Municipal Airport,1356
X3937,2021-01-09 20:07:27,2021-01-09 00:07:27,Chistochina Airport,Bojnord Airport,17004
G7938,2023-06-04 22:14:13,2023-06-04 13:14:13,Dodoima Airport,Yenkis(Yankisa) Airport,13904
T3939,2023-07-13 06:59:24,2023-07-12 13:59:24,Oenpelli Airport,Ouanda Djallé Airport,21646
FI940,2022-01-09 10:30:37,2022-01-08 20:30:37,Brisbane International Airport,Yangon International Airport,18672
TQ941,2022-09-09 20:52:34,2022-09-09 19:52:34,Berlin-Tempelhof International Airport,Canefield Airport,7213
VQ942,2020-06-03 08:55:12,2020-06-03 00:55:12,Imphal Airport,Orsk Airport,21511
B4943,2023-09-10 09:09:03,2023-09-10 09:09:03,La Rochelle-Île de Ré Airport,Barksdale Air Force Base,6775
-944,2022-01-28 12:34:48,2022-01-28 05:34:48,Bendigo Airport,Tatitlek Airport,5379
SB945,2020-01-24 12:28:06,2020-01-24 03:28:06,Rhinelander Oneida County Airport,Mbarara Airport,9177
HP946,2020-12-02 00:42:25,2020-12-01 08:42:25,Gaziantep International Airport,Ravensthorpe Airport,3604
HB947,2021-04-15 23:26:28,2021-04-15 18:26:28,Viracopos International Airport,Godofredo P. Ramos Airport,8478
-.948,2020-10-17 23:50:20,2020-10-17 03:50:20,Cambridge Airport,Lancaster Airport,4908
WM949,2023-11-18 02:20:00,2023-11-17 22:20:00,Newport News Williamsburg International Airport,Murod Kond Airport,9005
IT950,2022-03-13 06:55:27,2022-03-13 05:55:27,Manapouri Airport,Cheddi Jagan International Airport,10622
EM951,2021-06-27 02:33:17,2021-06-26 06:33:17,Rughenda Airfield,Baramita Airport,8655
S9952,2021-11-12 10:37:50,2021-11-12 01:37:50,Port Bouet Airport,Gordil Airport,26256
I7953,2020-12-05 16:13:09,2020-12-05 05:13:09,Hobart Regional Airport,Westsound/Wsx Seaplane Base,21728
JQ954,2023-04-14 21:23:13,2023-04-14 15:23:13,Melangguane Airport,Domodedovo International Airport,2719
ZG955,2021-12-05 11:46:45,2021-12-04 15:46:45,Higuerote Airport,"Mangole Airport, Falabisahaya",12166
1B956,2021-08-04 04:04:19,2021-08-03 20:04:19,Schenectady County Airport,Namangan Airport,14184
BH957,2023-05-13 07:55:55,2023-05-12 18:55:55,Buenos Aires Airport,Mc Guire Air Force Base,17904
U4958,2023-07-13 10:55:56,2023-07-13 08:55:56,Karluk Lake Seaplane Base,Kédougou Airport,21081
EX959,2022-02-28 15:20:58,2022-02-27 15:20:58,Ogeranang Airport,Camiguin Airport,17837
TD960,2023-07-29 16:43:45,2023-07-28 21:43:45,Saint-Nazaire-Montoir Airport,Valcheta Airport,9665
V7961,2021-03-05 22:04:02,2021-03-05 15:04:02,Cortez Municipal Airport,Castro Airport,239
3V962,2020-08-15 17:53:49,2020-08-15 14:53:49,Buttonville Municipal Airport,Presidente Prudente Airport,24225
NI963,2022-05-29 03:18:33,2022-05-28 16:18:33,Reyes Airport,Sahiwal Airport,18320
E8964,2022-03-11 07:10:28,2022-03-10 23:10:28,Dean River Airport,Bollon Airport,14953
N9965,2020-04-26 10:12:53,2020-04-25 17:12:53,Kurwina Airport,Tikchik Lodge Seaplane Base,9284
MH966,2021-12-20 16:17:14,2021-12-20 13:17:14,Wabo Airport,Liverpool John Lennon Airport,11627
8D967,2020-12-21 09:00:58,2020-12-20 14:00:58,Silur Airport,Coronel Altino Machado de Oliveira Airport,19816
S3968,2021-07-05 19:49:39,2021-07-05 00:49:39,Kokonau Airport,La Güera Airport,21451
B4969,2023-01-11 14:15:10,2023-01-10 21:15:10,Pinto Martins International Airport,La Macaza / Mont-Tremblant International Inc Airport,27413
LC970,2020-11-15 15:35:08,2020-11-14 19:35:08,Riverton Regional Airport,La Fria Airport,363
I8971,2020-04-30 04:14:40,2020-04-29 14:14:40,Islita Airport,Ignatyevo Airport,22873
LZ972,2023-07-10 09:09:55,2023-07-09 21:09:55,The Pas Airport,Shank Air Base,1531
BU973,2022-04-02 03:43:14,2022-04-01 18:43:14,Kankesanturai Airport,Hattiesburg Laurel Regional Airport,302
X1974,2022-09-23 02:01:18,2022-09-22 23:01:18,Astana International Airport,Sigonella Navy Air Base,17445
N8975,2022-11-19 15:04:15,2022-11-19 15:04:15,Perry-Foley Airport,Eastern Slopes Regional Airport,2329
GD976,2023-03-02 08:43:26,2023-03-01 18:43:26,Taichung Airport,Hattiesburg Laurel Regional Airport,2992
S8977,2020-12-10 10:56:04,2020-12-10 03:56:04,Baotou Airport,General Wayne A. Downing Peoria International Airport,25083
JC978,2022-09-09 13:09:45,2022-09-09 10:09:45,Fergana International Airport,Shillong Airport,20088
CV979,2020-04-19 14:14:44,2020-04-19 04:14:44,Kwigillingok Airport,Matthews Ridge Airport,16698
UI980,2022-11-22 02:36:31,2022-11-22 01:36:31,Egegik Airport,Yevlakh Airport,19407
IP981,2022-01-13 06:04:44,2022-01-12 22:04:44,Roundup Airport,Oki Airport,4009
??982,2021-12-09 08:09:21,2021-12-09 00:09:21,Westport Airport,Lucapa Airport,26210
UJ983,2022-10-12 21:00:36,2022-10-11 23:00:36,Salerno Landing Zone Airport,La Gaviota Airport,21625
V9984,2023-08-10 00:55:15,2023-08-09 22:55:15,Albert-Bray Airport,Antônio Guerreiro Airport,23210
DG985,2023-05-28 18:05:56,2023-05-28 12:05:56,St. Helena Airport,Xi'an Xiguan Airport,7183
G3986,2022-03-07 11:42:49,2022-03-06 15:42:49,Orangeburg Municipal Airport,Splane Memorial Airport,6543
9H987,2023-04-12 05:00:09,2023-04-11 19:00:09,Itacoatiara Airport,Hotan Airport,24228
XT988,2022-03-01 20:37:54,2022-03-01 16:37:54,Zambezi Airport,Augustus Downs Airport,20606
B4989,2020-06-30 11:28:34,2020-06-30 03:28:34,Biangabip Airport,Sir Abubakar Tafawa Balewa International Airport,14678
H8990,2020-10-02 22:12:35,2020-10-02 06:12:35,Louisville Winston County Airport,Kleinsee Airport,2571
RX991,2021-06-14 10:04:43,2021-06-14 03:04:43,Bisbee Douglas International Airport,Tazadit Airport,20942
8M992,2020-11-25 08:05:42,2020-11-24 10:05:42,Watertown Regional Airport,Morobe Airport,18865
DW993,2020-04-22 01:19:05,2020-04-21 03:19:05,Ottawa Macdonald-Cartier International Airport,Cacoal Airport,16658
UW994,2021-04-27 06:16:00,2021-04-27 03:16:00,Mercedes Airport,Vohimarina Airport,938
L3995,2020-05-06 15:31:30,2020-05-06 03:31:30,Abou-Deïa Airport,Gore Bay Manitoulin Airport,9330
1I996,2022-08-02 17:08:27,2022-08-02 17:08:27,Evanston-Uinta County Airport-Burns Field,Jolo Airport,13133
CD997,2020-11-19 23:25:44,2020-11-19 05:25:44,Pembroke Airport,Cuito Cuanavale Airport,17661
SF998,2020-03-18 23:12:54,2020-03-18 12:12:54,Mahenye Airport,Northeast Florida Regional Airport,10176
Q3999,2022-10-07 22:45:26,2022-10-07 15:45:26,Thisted Airport,Gassim Airport,19389
ME1000,2023-05-10 16:48:49,2023-05-10 12:48:49,Muzaffarabad Airport,Três Passos Airport,13971
EJ1001,2020-12-19 00:06:21,2020-12-18 05:06:21,Kamina Airport,Chañaral Airport,23127
X11002,2022-02-22 23:03:13,2022-02-22 16:03:13,Blosser Municipal Airport,Northeast Florida Regional Airport,3484
UU1003,2023-09-28 21:00:16,2023-09-28 03:00:16,Gordonsville Municipal Airport,Weam Airport,19653
NV1004,2022-07-08 01:12:21,2022-07-07 20:12:21,Alxa Left Banner Bayanhot Airport,San Ramón Airport,15499
N51005,2021-12-22 20:40:28,2021-12-21 23:40:28,Koolatah Airport,San Juan /Uganik/ Seaplane Base,15549
VT1006,2021-02-17 17:07:03,2021-02-17 00:07:03,Badu Island Airport,Topeka Regional Airport - Forbes Field,23651
6D1007,2021-11-05 21:16:25,2021-11-05 03:16:25,Hang Nadim International Airport,Benin Airport,6825
E21008,2021-10-28 06:48:21,2021-10-28 06:48:21,Ingeniero Ambrosio Taravella Airport,Southeast Texas Regional Airport,7650
EH1009,2022-11-04 18:11:26,2022-11-04 12:11:26,Saúl Airport,Lengpui Airport,13338
UQ1010,2023-01-20 10:19:31,2023-01-20 10:19:31,Basanth Nagar Airport,Sule Airport,26603
Y81011,2021-09-28 08:43:28,2021-09-27 17:43:28,Tahsis Seaplane Base,Kent International Airport,7478
Q51012,2021-04-08 20:23:39,2021-04-07 20:23:39,Port Allen Airport,Méndez Airport,1364
US1013,2021-10-15 11:59:02,2021-10-15 02:59:02,Maré Airport,Nulato Airport,7751
SP1014,2020-06-05 00:36:54,2020-06-04 09:36:54,Cambridge Airport,Ngari Gunsa Airport,24072
AG1015,2021-04-28 23:31:15,2021-04-28 20:31:15,Chelinda Malawi Airport,Milyakburra Airport,10945
IK1016,2020-01-27 05:01:08,2020-01-27 00:01:08,West End Airport,Canouan Airport,15997
1F1017,2022-12-18 09:51:50,2022-12-18 06:51:50,Horsham Airport,Jasper Airport,27888
EU1018,2023-07-19 12:19:19,2023-07-18 13:19:19,Iliamna Airport,Rincon De Los Sauces Airport,1447
K61019,2021-01-10 16:47:30,2021-01-10 01:47:30,Morehead Airport,Elcho Island Airport,17946
TI1020,2023-03-01 17:22:42,2023-02-28 22:22:42,Namibe Airport,Miami Seaplane Base,20719
VH1021,2023-10-26 17:22:52,2023-10-26 02:22:52,Cairo Regional Airport,New Castle Airport,3485
P91022,2020-02-24 22:51:58,2020-02-23 22:51:58,Mount Isa Airport,Bucholz Army Air Field,9453
JA1023,2022-09-20 11:58:01,2022-09-20 11:58:01,Qiemo Yudu Airport,Hartsville Regional Airport,22658
UX1024,2020-03-01 16:16:23,2020-03-01 01:16:23,Karluk Lake Seaplane Base,Elim Airport,13979
BO1025,2021-10-02 02:24:11,2021-10-01 06:24:11,General Pico Airport,Negele Airport,25686
OD1026,2023-10-22 07:41:08,2023-10-21 08:41:08,Nova Lisboa Airport,Akiachak Airport,6743
LK1027,2022-11-20 13:18:19,2022-11-20 09:18:19,Aeroclube Airport,Cat Bi International Airport,5451
YZ1028,2022-11-30 08:17:28,2022-11-29 21:17:28,Pembina Municipal Airport,Boana Airport,21616
MV1029,2023-11-25 17:32:46,2023-11-24 21:32:46,Kirovsk-Apatity Airport,Teniente Coronel Luis a Mantilla Airport,21589
CJ1030,2023-01-12 19:58:52,2023-01-12 05:58:52,Snap Lake Airport,Saposoa Airport,9288
UK1031,2022-05-19 10:23:26,2022-05-19 03:23:26,El Eden Airport,Santa Lucia Air Force Base,15802
6G1032,2021-06-22 18:14:49,2021-06-22 04:14:49,Bunia Airport,Koro Island Airport,6380
IZ1033,2021-07-13 12:17:42,2021-07-13 05:17:42,Mondell Field,Slave Lake Airport,27450
9L1034,2021-10-26 01:16:55,2021-10-25 19:16:55,Berezovo Airport,Edward Bodden Airfield,3528
GX1035,2023-01-16 02:20:37,2023-01-15 16:20:37,Ukhta Airport,Cape Flattery Airport,22640
MY1036,2021-08-02 01:42:28,2021-08-01 09:42:28,Quatro de Fevereiro Airport,Dawson City Airport,18669
N81037,2020-03-14 15:14:39,2020-03-14 04:14:39,Termez Airport,Alerta Airport,18872
K81038,2021-08-19 14:12:15,2021-08-18 23:12:15,Midland International Airport,Rafaela Airport,27943
IC1039,2020-06-29 06:42:17,2020-06-29 00:42:17,Stevens Point Municipal Airport,Jacksonville International Airport,7602
QO1040,2023-07-03 03:17:25,2023-07-02 03:17:25,Bulimba Airport,Hollis Clark Bay Seaplane Base,11246
HQ1041,2020-06-01 18:43:03,2020-06-01 13:43:03,Artesia Municipal Airport,Camilo Ponce Enriquez Airport,21156
IP1042,2022-03-17 12:31:54,2022-03-16 20:31:54,San Pedro Airport,Lipetsk Airport,26141
DN1043,2023-05-08 12:00:24,2023-05-07 13:00:24,Purwokerto Airport,Mount Magnet Airport,8191
BU1044,2022-06-07 01:23:15,2022-06-06 16:23:15,Helgoland-Düne Airport,Hugo Cantergiani Regional Airport,17122
8E1045,2021-09-08 00:16:21,2021-09-07 01:16:21,Patreksfjörður Airport,Cap Skirring Airport,5819
F41046,2023-02-09 01:21:26,2023-02-08 08:21:26,Alldays Airport,Cagliari Elmas Airport,27465
VR1047,2020-09-05 01:04:28,2020-09-04 21:04:28,Hawkins Field,Lubango Airport,25681
U41048,2020-12-05 22:59:25,2020-12-05 21:59:25,La Florida Airport,Blimbingsari Airport,23690
TF1049,2022-03-23 11:33:27,2022-03-22 18:33:27,Sir Seewoosagur Ramgoolam International Airport,Shahid Sadooghi Airport,7702
GM1050,2020-09-10 14:31:00,2020-09-09 16:31:00,Humboldt Municipal Airport,João Simões Lopes Neto International Airport,15431
4C1051,2020-01-08 04:39:30,2020-01-07 12:39:30,Bangassou Airport,Leitre Airport,9217
RM1052,2020-08-30 22:04:07,2020-08-30 19:04:07,Salamanca Airport,Loen Airport,6434
JI1053,2022-01-25 15:17:30,2022-01-25 10:17:30,Rouen Airport,Talasea Airport,15493
HG1054,2020-06-05 13:58:32,2020-06-04 19:58:32,Lyon-Bron Airport,Gonder Airport,343
C31055,2022-06-18 05:25:03,2022-06-17 20:25:03,Juruena Airport,Young Airport,1354
DW1056,2021-08-12 14:46:28,2021-08-12 13:46:28,Warrnambool Airport,Lock Airport,10215
JU1057,2022-04-30 04:41:22,2022-04-29 18:41:22,Chubu Centrair International Airport,Gimpo International Airport,5878
GM1058,2022-03-19 11:13:39,2022-03-18 19:13:39,Mudgee Airport,Leeds Bradford Airport,9576
O11059,2023-11-09 19:23:48,2023-11-09 02:23:48,Hugo Cantergiani Regional Airport,Tucupita Airport,27818
HV1060,2020-03-06 01:29:44,2020-03-05 15:29:44,Lengbati Airport,Kegelman AF Aux Field,23573
BM1061,2022-11-27 17:08:08,2022-11-27 01:08:08,Santa Ana Airport,Lima Allen County Airport,17713
R61062,2020-12-04 17:11:12,2020-12-03 18:11:12,Fortescue - Dave Forrest Aerodrome,Salisbury Ocean City Wicomico Regional Airport,14492
GB1063,2021-11-04 07:09:01,2021-11-03 23:09:01,Gangaw Airport,Skardu Airport,12856
VD1064,2023-11-09 14:41:47,2023-11-09 03:41:47,Zambezi Airport,Quincy Regional Baldwin Field,21756
GR1065,2021-12-06 09:12:16,2021-12-05 17:12:16,St Paul Downtown Holman Field,Montauban Airport,435
9O1066,2021-10-11 12:04:19,2021-10-11 03:04:19,Shark Bay Airport,Rampart Airport,10508
PC1067,2021-11-27 01:51:25,2021-11-27 01:51:25,Marion County Rankin Fite Airport,Sir Abubakar Tafawa Balewa International Airport,12765
FF1068,2022-12-19 22:09:14,2022-12-19 22:09:14,Barriles Airport,Minatitlán/Coatzacoalcos National Airport,18794
QS1069,2021-11-29 01:21:52,2021-11-28 23:21:52,Ostend-Bruges International Airport,St. Helena Airport,16120
CR1070,2020-06-16 13:56:35,2020-06-16 05:56:35,Palma De Mallorca Airport,Guemar Airport,10334
FV1071,2023-10-24 02:59:05,2023-10-23 04:59:05,Montauk Airport,Moosonee Airport,27534
5H1072,2022-04-11 12:20:10,2022-04-10 16:20:10,Fort St John Airport,Goose Bay Airport,8214
IJ1073,2023-02-09 07:39:04,2023-02-08 17:39:04,Gamarmalamo Airport,Aosta Airport,21792
UQ1074,2020-05-16 00:46:26,2020-05-15 17:46:26,South Goulburn Is Airport,Polokwane International Airport,16857
V51075,2021-07-19 08:22:26,2021-07-19 03:22:26,Las Malvinas/Echarate Airport,Escuela Mariscal Sucre Airport,2673
DV1076,2022-08-24 23:50:51,2022-08-24 11:50:51,Phetchabun Airport,Hissar Airport,24266
4G1077,2022-06-17 17:39:08,2022-06-17 14:39:08,Orinduik Airport,Kaukura Airport,9145
LZ1078,2022-12-02 15:26:12,2022-12-01 19:26:12,Ust-Ilimsk Airport,Ranau Airport,10248
E91079,2023-08-16 22:06:24,2023-08-16 01:06:24,Fayetteville Regional Grannis Field,Cheddi Jagan International Airport,1630
IL1080,2021-04-23 17:02:38,2021-04-23 01:02:38,Héroes De Malvinas Airport,Licenciado Manuel Crescencio Rejon Int Airport,6366
IX1081,2023-02-08 02:13:54,2023-02-07 10:13:54,Ponta Porã Airport,Riachão Airport,12531
SU1082,2020-02-10 00:16:41,2020-02-09 14:16:41,Hickory Regional Airport,Oeiras Airport,5154
9K1083,2021-12-05 07:05:04,2021-12-04 21:05:04,Coconut Island Airport,Khwahan Airport,23717
PF1084,2021-11-04 18:28:06,2021-11-04 01:28:06,Khmelnytskyi Airport,Bellona/Anua Airport,7436
DB1085,2020-11-22 03:45:06,2020-11-21 08:45:06,Treviso-Sant'Angelo Airport,Francisco Sarabia International Airport,4823
F51086,2020-07-17 20:32:52,2020-07-17 16:32:52,Marshall Don Hunter Sr Airport,Durham Tees Valley Airport,10013
N81087,2023-02-13 18:44:46,2023-02-13 06:44:46,Fergana International Airport,Cesar Lim Rodriguez Airport,3983
8J1088,2021-10-07 17:40:36,2021-10-07 11:40:36,Guernsey Airport,Gran Canaria Airport,12283
FZ1089,2020-07-23 22:34:28,2020-07-22 23:34:28,Waskaganish Airport,Z M Jack Stell Field,21027
9O1090,2021-08-21 06:00:31,2021-08-20 20:00:31,Jorge Isaac Airport,Namudi Airport,25973
K61091,2020-03-07 18:42:34,2020-03-07 07:42:34,Toussaint Louverture International Airport,Tshikapa Airport,13410
DB1092,2022-08-04 22:23:38,2022-08-04 17:23:38,Round Lake (Weagamow Lake) Airport,Tanque Novo Airport,21448
2Y1093,2022-07-04 05:29:05,2022-07-03 11:29:05,Wuhai Airport,Charlottetown Airport,9218
DR1094,2022-01-12 17:27:12,2022-01-11 21:27:12,Tiko Airport,Manihi Airport,18632
CV1095,2023-06-30 04:55:47,2023-06-29 04:55:47,Seinäjoki Airport,Kenai Municipal Airport,25745
